     i,      c,     ev,    dom,    knn,    lrg,   mean,    med,    reg, 
   67.,    4.0,   0.54,  -0.22,  -0.28, -0.088,  -0.30,  -0.33,  -0.28, 
   43.,    0.0,   0.18, -0.049, -0.025, -0.049,  0.018, 0.0080,  0.021, 
   38.,    2.0,   0.88,  -0.19,    0.0,  -0.20,  -0.19,  -0.25,  -0.18, 
   17.,    5.0,    2.2,   0.58,    1.2,   0.74,    2.1,    1.6,  -0.12, 
   37.,    1.0,   0.50,   0.10,   0.10,  0.097,  0.099,   0.10,  0.066, 
   50.,    3.0,   0.99, -0.0080, -0.014, 0.0017, -0.013, -0.013, -0.013, 
   54.,    3.0,   0.97, -0.0015, -0.0035, 0.0024, 0.0083, 0.0075, 0.0023, 
   3.0,    2.0,   0.62,   0.12,   0.12,   0.14,  0.063,    0.0,   0.11, 
   80.,    5.0,    4.8,  -0.38,  -0.33,  -0.65,  -0.50,   -1.0,  -0.51, 
   76.,    4.0,   0.12,   0.16,   0.28,   0.14,   0.12,   0.12,  0.091, 
   45.,    3.0,    1.0, -0.0050, -0.0025, -0.0013, -0.017, -0.017, 0.0016, 
   50.,    4.0,  0.097,   0.31,   0.14,   0.15,   0.15,   0.14,   0.17, 
   83.,    4.0,    0.0,   0.16,   0.18,  0.092,   0.24,   0.24,   0.22, 
   73.,    5.0,    3.6,  -0.35,  -0.25,  -0.19,   0.73,   0.23,  -0.39, 
   75.,    5.0,    2.3,   0.98,   0.81,   0.95,    2.1,    1.6,  -0.13, 
   68.,    3.0,   0.97, -0.013, -0.0090, -0.010,  0.013,  0.012, 0.00084, 
   49.,    2.0,   0.88,  -0.19,    0.0, 0.0025,  -0.19,  -0.25,  -0.18, 
   64.,    5.0,    5.5,  -0.28,  -0.27,   -1.8,   -1.2,   -1.6, -0.087, 
   45.,    1.0,   0.90, -0.050,  -0.20,  0.016,  -0.31,  -0.30, -0.041, 
   83.,    5.0,    3.2,   0.66,   0.46,  -0.41,    1.2,   0.69,  0.070, 
   26.,    0.0,   0.14, -0.011,  0.060,  0.020,  0.059,  0.048,  0.048, 
   63.,    5.0,    3.5,   0.17,  -0.64,   0.59,   0.85,   0.35,    1.9, 
   18.,    0.0,   0.27, -0.088, 0.0084, -0.030, -0.072, -0.082, -0.053, 
