     i,      c,     ev,    reg,    dom,   diff,     dk,    dk2,    knn,   mean,    med, 
   48.,    2.0,   0.24,  0.056,  0.056,   0.16, -0.0040,  0.032,  -0.11,   0.11,  0.072, 
   67.,    2.0,   0.50,  -0.10,  -0.14, -0.097,  -0.18, -0.078,  -0.16,  -0.16,  -0.20, 
   71.,    5.0,   0.21,   0.11,  0.065,  0.041,  0.043, -0.013,   0.12,   0.10,  0.072, 
   73.,    4.0,   0.73,  -0.16,  -0.11,  -0.20,  -0.15,  -0.12,  0.075,  -0.20,  -0.21, 
   50.,    2.0,   0.20,   0.13,   0.12,   0.14,   0.13,  0.094,   0.12,   0.14,   0.11, 
   30.,    4.0,    1.0,  -0.15,  -0.19,  -0.19,  -0.29,  -0.34,  -0.39,  -0.47,  -0.48, 
   88.,    0.0,   0.16,  0.021, -0.032, -0.063,  0.021,  0.016,  0.089,  0.075,  0.032, 
   19.,    4.0,   0.50,  0.040, -0.079,  -0.12,  -0.14, -0.031,  0.047,  0.035,  0.021, 
   51.,    2.0,   0.53, -0.020, -0.015, -0.032, -0.046, -0.072,  0.031,  -0.19,  -0.23, 
   94.,    2.0,   0.44, -0.056, -0.049,  0.069,  0.016, -0.078, -0.066, -0.095,  -0.13, 
   45.,    4.0,   0.52,  0.022,  -0.10, -0.094, -0.068, -0.051, -0.063,  0.014,    0.0, 
   47.,    0.0,   0.21, -0.028, -0.035, -0.085, -0.041, -0.051,  -0.16,  0.021, -0.021, 
   1.0,    0.0,   0.20, -0.012, -0.020, -0.071,  0.040, -0.033, -0.092,  0.035, -0.0070, 
   18.,    2.0,   0.11,  0.088,  0.074,   0.45,  0.074,   0.25,   0.17,   0.23,   0.20, 
   94.,    5.0,   0.38, -0.033, -0.028, -0.028, -0.037, -0.022, -0.093, -0.064, -0.095, 
   88.,    1.0,   0.20,  0.011, -0.040,  -0.10,  0.033, 0.0085,  0.076,  0.077,  0.042, 
   83.,    1.0,   0.66,  -0.36, 0.0095,  -0.11, -0.094, -0.052,  -0.11,  -0.39,  -0.43, 
