   CPU,   MEAN,    STD, 
    dk, -0.0029,   0.14, 
  diff,  0.038,   0.20, 
   knn, -0.0048,   0.17, 
   med, -0.053,   0.16, 
   reg, 0.0078,   0.14, 
   dom,  0.058,   0.21, 
  mean, 0.0014,   0.16, 
   dk2, -0.012,   0.14, 
