   SHA,   MEAN,    STD, 
    dk, 0.0069,   0.13, 
  diff, -0.0031,   0.14, 
   knn, -0.0038,   0.13, 
   med, -0.035,   0.17, 
   reg, -0.0033,   0.11, 
   dom, 0.0022,   0.11, 
  mean, -0.0018,   0.17, 
   dk2, -0.0045,   0.12, 
