     i,      c,     ev,    reg,    dom,   diff,     dk,    dk2,    knn,   mean,    med, 
   52.,    2.0,  0.098,  0.032, -0.0047, -0.028, -0.020, -0.040, -0.020,  0.079,  0.027, 
   82.,    2.0,   0.37, -0.023, -5.0e-05,  -0.13,  -0.16,  -0.20,  -0.13,  -0.20,  -0.25, 
   79.,    0.0,  0.028,   0.11,   0.47,   0.47, 0.0038, -0.0016, -0.0060,   0.11,  0.045, 
   93.,    5.0,  0.017,  0.053,  0.043, -0.0057,  0.011,  0.048,    0.0,  0.094,  0.028, 
   60.,    2.0,  0.093, -0.0063, -0.023, -0.016, -0.016, -0.023, -0.016,  0.084,  0.031, 
   19.,    5.0, 0.0057,  0.064,   0.11,  0.017,  0.017,  0.024,  0.017,   0.11,  0.040, 
   33.,    1.0,  0.029,  0.033,  0.063,  0.016,  0.031,  0.016,  0.031,  0.066,  0.031, 
   2.0,    3.0,    0.0,  0.087,   0.13,    0.0,    0.0,    0.0,    0.0,   0.11,  0.031, 
   98.,    2.0,  0.096,  0.089, 0.0047, -0.034, -0.017,   0.25,  0.028,  0.081,  0.028, 
   92.,    3.0,    0.0,  0.036,    0.0,    0.0,    0.0,  0.023,    0.0,   0.11,  0.031, 
   1.0,    0.0,  0.037,  0.083,   0.46,   0.46, -0.025, -0.019, -0.015,   0.10,  0.036, 
   47.,    5.0,  0.028,  0.067, 0.0057, 0.0057, 0.0057,   0.16, 0.0057,  0.083,  0.017, 
   31.,    4.0,  0.019,  0.029,  0.078,    0.0,  0.078,  0.053,    0.0,  0.078,  0.039, 
   82.,    4.0,   0.15,  0.034, -0.048,    0.0, -0.048,  0.019,    0.0, -0.058, -0.096, 
   30.,    3.0,   0.12, -0.039, 0.0020,  0.018, -0.062, -0.090,  -0.12, -0.016, -0.094, 
   24.,    5.0,  0.028,  0.042, -0.0085, -0.017, -0.011, -0.017, -0.011,  0.083,  0.017, 
   99.,    3.0,   0.50,  -0.22, -0.025, -0.025,  -0.16,  -0.27,  -0.25,  -0.40,  -0.47, 
   12.,    1.0, 0.0062,  0.017, 0.0095, 0.0018, 0.0078, 0.0078, 0.0078,  0.089,  0.054, 
   32.,    0.0,  0.045,   0.15,   0.46,   0.46,  0.043,  0.065,  0.080,  0.092,  0.028, 
   36.,    1.0,  0.014,  0.048,  0.062, 0.0036,  0.049,  0.021, -0.0080,  0.081,  0.047, 
   71.,    1.0,  0.029,  0.033,  0.047,  0.031,  0.016,  0.016,    0.0,  0.066,  0.031, 
   73.,    5.0,   0.18, -0.024, -0.045, -0.045, -0.045, -0.045, -0.045, -0.072,  -0.14, 
   58.,    3.0,  0.031,   0.13,   0.22,   0.50, -0.027, -0.019, -0.031,  0.078,    0.0, 
   49.,    3.0,    0.0,  0.053,  0.031,    0.0,    0.0,   0.28,    1.0,   0.11,  0.031, 
   29.,    4.0,  0.058, -0.0083, -0.039, -0.039,    0.0, -0.048, -0.039,  0.039,    0.0, 
   10.,    5.0,   0.18,  0.078,   0.18,  -0.14,   0.27,   0.11,  -0.11, -0.072,  -0.14, 
   11.,    3.0,  0.031,  0.021, -0.031, -0.031, -0.031,  0.017,    0.0,  0.078,    0.0, 
   40.,    2.0,  0.093, -0.0063,   0.22, -0.078, -0.047,  0.067, -0.016,  0.084,  0.031, 
   63.,    3.0,    0.0,   0.31,   0.19,   0.12,   0.25,   0.19,   0.25,   0.11,  0.031, 
   96.,    3.0,    0.0,  0.036,  0.016,    0.0,    0.0,    0.0,    0.0,   0.11,  0.031, 
   44.,    3.0,    0.0,  0.019,    0.0,  0.031,    0.0, 0.0039,  0.016,   0.11,  0.031, 
   60.,    3.0,    0.0,  0.071,  0.031,  0.016,    0.0, 0.0078,  0.016,   0.11,  0.031, 
   31.,    0.0,   0.20, -0.033, -0.046, -0.046,  -0.12, -0.026,    0.0, -0.068,  -0.13, 
   14.,    2.0,  0.093, 0.0037, -0.011, -0.078, 5.0e-05, -0.012,  0.031,  0.084,  0.031, 
