    HP,   MEAN,    STD, 
    dk,  0.032,   0.59, 
  diff,  0.053,   0.66, 
   knn, -0.0079,   0.61, 
   med, -0.083,   0.74, 
   reg,  0.018,   0.43, 
   dom,  0.023,   0.54, 
  mean, 0.0024,   0.73, 
   dk2, -0.0061,   0.56, 
