     i,      c,     ev,    dom,    knn,    lrg,   mean,    med,    reg, 
   42.,    1.0,  0.061,    0.0,    0.0, 0.0023,  0.027, -0.031,  0.075, 
   7.0,    5.0,   0.25, -0.031,    0.0, -0.025, -0.087,  -0.12, -0.034, 
   77.,    0.0,   0.36,   0.15,  -0.15, -0.021,  -0.12,  -0.20, -0.061, 
   50.,    0.0,   0.86,  -0.36,  -0.63,  -0.31,  -0.63,  -0.71,  -0.58, 
   4.0,    0.0,  0.015,   0.49, -0.0037, 0.0014,   0.23,   0.14,   0.12, 
   36.,    2.0,  0.030,  0.047,  0.031,  0.051,   0.15,  0.094,  0.076, 
   15.,    0.0,   0.23,   0.27,   0.13,   0.14, 0.0072, -0.076,  0.061, 
   23.,    3.0,    0.0,  0.031,    0.0,   0.28,  0.090,  0.031,   0.10, 
   25.,    5.0,  0.023,    0.0,    0.0, -0.0013,   0.14,   0.10,   0.13, 
   15.,    4.0,   0.12,  0.031, -0.094,   0.25,  0.016, -0.031, -0.035, 
   99.,    2.0, 0.0070,    0.0,  0.039,   0.11,   0.17,   0.12,  0.083, 
   57.,    2.0,   0.12, -0.055,    0.0, -1.4e-17,  0.056,    0.0, -0.029, 
   3.0,    5.0,   0.25,    0.0,    0.0, -0.0042, -0.087,  -0.12, -0.035, 
   34.,    4.0,   0.38,    0.0,    0.0, -0.0035,  -0.24,  -0.28,  -0.16, 
   81.,    0.0,   0.36,   0.15,  -0.20,  -0.24,  -0.12,  -0.20, -0.075, 
   45.,    0.0,   0.15,   0.36,  -0.10,  0.023,  0.093, 0.0088,   0.14, 
   97.,    5.0,   0.19, -0.031,  0.062,  0.062, -0.024, -0.063, -0.063, 
   98.,    0.0,  0.011,   0.49, 0.0037,  0.028,   0.23,   0.14,   0.12, 
   71.,    0.0,  0.073,   0.43,  0.082,  0.021,   0.17,  0.082,   0.17, 
   4.0,    4.0,   0.25,    0.0,    0.0, -0.022,  -0.11,  -0.16,  0.035, 
   43.,    2.0,   0.25, -0.094,    0.0,  0.012, -0.070,  -0.13, -0.094, 
   18.,    1.0,  0.029, -0.019, -0.015, 0.0063,  0.059,    0.0, -0.038, 
   94.,    1.0,   0.12,   0.13,  0.039,   0.16, -0.036, -0.094,  0.097, 
   74.,    3.0,  0.023, -0.0077, -0.023, -0.0050,  0.066, 0.0079,  0.048, 
   98.,    3.0,    0.0,   0.13,   0.12,   0.17,  0.090,  0.031,   0.17, 
   85.,    1.0,  0.061, -0.047,    0.0, -0.0097,  0.027, -0.031, -0.049, 
   20.,    2.0,  0.098,  0.066, -0.020, -0.055,  0.083,  0.027,  0.040, 
   5.0,    0.0,  0.011,   0.49, 0.0037,  0.011,   0.23,   0.14,   0.12, 
   67.,    0.0,   0.11,   0.39, -0.019, -0.020,   0.13,  0.044,   0.19, 
   84.,    0.0,   0.39,   0.11,  -0.24,  -0.26,  -0.16,  -0.24,  -0.11, 
   62.,    4.0,   0.25,  -0.19, -0.094,  -0.12,  -0.11,  -0.16,  -0.16, 
   60.,    1.0, 0.0060,  0.012,    0.0, 8.7e-19,  0.082,  0.023,  0.048, 
   9.0,    3.0,   0.50,  0.055,  -0.25,  -0.25,  -0.42,  -0.47, -0.054, 
   19.,    2.0,  0.077,   0.30,   0.17,   0.31,   0.10,  0.047,   0.18, 
   62.,    0.0,   0.14,   0.37,   0.22,   0.20,   0.10,  0.019,   0.16, 
   69.,    1.0,  0.061, -0.043, -0.031, -0.031,  0.027, -0.031, -0.049, 
   91.,    1.0,  0.061,    0.0,    0.0, 7.6e-17,  0.027, -0.031,   0.25, 
   34.,    3.0,   0.12,   0.20,    0.0,  0.011, -0.028, -0.086,  0.011, 
   50.,    0.0,   0.86,  -0.36,  -0.63,  -0.31,  -0.63,  -0.71,  -0.58, 
   62.,    3.0,    0.0,  0.016,    0.0, 0.0069,  0.090,  0.031,  0.068, 
   67.,    0.0,   0.11,   0.39, -0.019, -0.020,   0.13,  0.044,   0.19, 
   75.,    1.0,  0.022,  0.073,    0.0, -0.00072,  0.066, 0.0073,  0.073, 
   3.0,    0.0,  0.015,   0.49,    0.0, -0.00050,   0.23,   0.14,   0.12, 
   57.,    5.0,  0.031,  0.078,    0.0, -3.5e-18,   0.13,  0.094,  0.094, 
   59.,    4.0,  0.031,    0.0,    0.0,    0.0,   0.11,  0.063,  0.054, 
   4.0,    1.0,   0.25, -0.063,    0.0, -0.030,  -0.16,  -0.22,  -0.11, 
   22.,    5.0,   0.50,  -0.16,  -0.25,  -0.21,  -0.34,  -0.37,  -0.32, 
   53.,    4.0,  0.031,    0.0,    0.0,  0.030,   0.11,  0.063,  0.073, 
   43.,    1.0,  0.061,    0.0,    0.0, 0.0023,  0.027, -0.031,  0.075, 
   75.,    4.0,   0.19, -0.031,  -0.16, -0.089, -0.047, -0.094, -0.090, 
   77.,    2.0,   0.19,  -0.10,  -0.12,  -0.13, -0.0071, -0.063, -0.090, 
   99.,    0.0,   0.58, -0.080,   0.28,   0.16,  -0.35,  -0.43,  -0.29, 
   8.0,    3.0,   0.25,   0.26,    0.0,    0.0,  -0.16,  -0.22,  0.018, 
   73.,    2.0,  0.046,  0.036,    0.0,  0.078,   0.14,  0.078,  0.066, 
   37.,    0.0,  0.042,   0.46,   0.44,  0.047,   0.20,   0.11,   0.24, 
   55.,    2.0,   0.19,  -0.10,  -0.13, -0.058, -0.0071, -0.063, -0.067, 
   0.0,    0.0,   0.14,   0.36, -0.019,  0.070,   0.10,  0.019,   0.16, 
   3.0,    5.0,   0.25,    0.0,    0.0, -0.0042, -0.087,  -0.12, -0.035, 
   46.,    3.0,  0.031, -0.031, -0.031, -0.031,  0.058,    0.0,  0.036, 
   40.,    4.0,  0.094, -0.031, -0.063,  -0.10,  0.048,    0.0, 0.0099, 
   99.,    4.0,  0.031,    0.0,    0.0, 0.0063,   0.11,  0.063,  0.051, 
   21.,    1.0,  0.095, -0.054, -0.066, -0.030, -0.0078, -0.066, -0.061, 
   91.,    2.0,   0.50,  -0.21,  -0.38,  -0.33,  -0.32,  -0.38,  -0.35, 
