   HDI,   MEAN,    STD, 
    dk, 0.0031,   0.13, 
  diff, -0.011,   0.13, 
   knn, 0.00040,   0.15, 
   med,  0.050,   0.19, 
   reg, -0.00064,   0.12, 
   dom, -0.011,   0.13, 
  mean, 0.0041,   0.19, 
   dk2, -0.0067,   0.13, 
