     i,      c,     ev,    dom,    knn,    lrg,   mean,    med,    reg, 
   40.,    1.0,   0.93, -0.051,  0.032, -0.093, -0.022, -0.032, -0.0098, 
   16.,    0.0,   0.94,  0.020,  0.028,  0.011, -0.071, -0.077, -0.011, 
   40.,    1.0,   0.93, -0.051,  0.032, -0.093, -0.022, -0.032, -0.0098, 
   46.,    0.0,   0.89, -0.020,  -0.13,  -0.11, -0.019, -0.025, -0.047, 
   57.,    1.0,   0.89, -0.011,  0.068,  0.069,  0.020,  0.016, 0.0084, 
   63.,    2.0,   0.76,  0.047, 0.0040, -0.050,  0.077,  0.072,  0.046, 
   70.,    0.0,   0.72,   0.14,  0.043,   0.18,   0.15,   0.15,   0.12, 
   67.,    2.0,   0.73,  0.060,  0.056,  0.023,   0.10,  0.098,  0.068, 
   33.,    0.0,   0.88,  0.052,  0.037,  0.061, -0.0050, -0.011,  0.071, 
   34.,    1.0,   0.94, -0.045,  -0.15, -0.088, -0.032, -0.042, -0.011, 
   70.,    0.0,   0.72,   0.14,  0.043,   0.18,   0.15,   0.15,   0.12, 
   57.,    0.0,   0.88, -0.060,  0.057,  0.017, -0.0050, -0.011, -0.033, 
   49.,    0.0,   0.93,  -0.14, -0.057, -0.060, -0.063, -0.069, -0.094, 
   38.,    2.0,   0.83,  0.020, -0.034, -0.079, -0.00049, -0.0090, -0.014, 
   45.,    0.0,   0.87, -0.0021,  -0.17,  0.011, -0.00076, -0.0073, -0.016, 
   37.,    0.0,   0.84,  0.031, -0.032, -0.024,  0.033,  0.029,  0.049, 
   32.,    0.0,   0.92, -0.0094, -0.030,  0.059, -0.051, -0.057, -0.026, 
   32.,    0.0,   0.92, -0.0094, -0.030,  0.059, -0.051, -0.057, -0.026, 
   79.,    0.0,   0.83, -0.063, -0.092,  0.078,  0.044,  0.040, -0.020, 
   23.,    0.0,   0.97, -0.036, -0.075, -0.047, -0.097,  -0.10, -0.059, 
   56.,    0.0,   0.77,   0.11,   0.17,  0.066,  0.098,  0.094,   0.13, 
   3.0,    1.0,    1.0, -0.057, -0.019, -0.018, -0.088, -0.098, -0.050, 
   59.,    0.0,   0.80,  0.065,  0.042,  0.053,  0.067,  0.063,  0.063, 
   58.,    1.0,   0.84,  0.046,   0.13,   0.12,  0.076,  0.072,  0.087, 
   25.,    0.0,   0.92,  0.028,  0.049,  0.047, -0.047, -0.053, -0.0077, 
   26.,    1.0,   0.90, 0.0010, -0.028, -0.0024,  0.015,  0.011,  0.063, 
   53.,    2.0,   0.84, -0.087, -0.087, -0.090, -0.0045, -0.013, -0.073, 
   89.,    2.0,   0.64,   0.11,   0.20,  0.069,   0.19,   0.19,   0.13, 
   19.,    0.0,   0.96, -0.012, -0.030, -0.0039, -0.087, -0.093, -0.048, 
   96.,    2.0,   0.69, -0.086, -0.035,  -0.26,   0.15,   0.14, 0.0020, 
   45.,    0.0,   0.87, -0.0021,  -0.17,  0.011, -0.00076, -0.0073, -0.016, 
   86.,    1.0,   0.84,  0.029,  0.045, -0.0073,  0.078,  0.074,  0.062, 
   92.,    0.0,   0.80, -0.046, 0.0052, 0.0036,  0.074,  0.070, -0.026, 
   36.,    0.0,   0.90, -0.034, -0.043, -0.047, -0.033, -0.040, -0.021, 
   98.,    0.0,   0.74,  0.023,  0.079,  0.029,   0.13,   0.13,  0.050, 
   28.,    1.0,   0.87,  0.029,  0.028,  0.038,  0.044,  0.039,  0.092, 
