    HP,   MEAN,    STD, 
   reg, 0.0044,   0.25, 
   lrg,  0.011,   0.56, 
   dom,  0.049,   0.33, 
  diff, 0.0085,   0.27, 
    dk,  0.027,   0.31, 
   dk2, 0.0038,   0.21, 
   knn, 0.0026,   0.31, 
  mean,  0.016,   0.40, 
   med, -0.043,   0.40, 
