   CPU,   MEAN,    STD, 
   reg,  0.010,   0.16, 
   lrg, -0.00043,   0.25, 
   dom,  0.063,   0.22, 
  diff,  0.044,   0.21, 
    dk, 0.0018,   0.14, 
   dk2, -0.0082,   0.15, 
   knn, -0.0023,   0.17, 
  mean, 0.0025,   0.19, 
   med, -0.060,   0.19, 
