   HDI,   MEAN,    STD, 
   reg, -0.010,   0.13, 
   lrg, -0.0033,   0.27, 
   dom, -0.013,   0.13, 
  diff, -0.013,   0.13, 
    dk, -0.0031,   0.13, 
   dk2, -0.016,   0.13, 
   knn, -0.0093,   0.15, 
  mean, -0.0094,   0.19, 
   med,  0.036,   0.19, 
